Naturalidade,lat,lon
Jaíba,-15.3373744,-43.6734439
Toledo,-22.7433969,-46.3735044
Faria Lemos,-20.8051202,-42.0127393
Corumbá,-19.0016365,-57.6534316
Camacho,-20.625556,-45.156667
Acreuna,-17.3959899,-50.3749031
Paulínia,-22.7630391,-47.1532213
Bocaína,-22.1421831,-48.522276
Guaçuí,-20.7718645,-41.6754813
Cajamar,-23.3561111,-46.8769444
Bissau - Bissau,-22.8146727,-43.182977
Coluna,-18.2327272,-42.8402912
Vila Rica,-20.385527,-43.5035214
Bocaina de Minas,-22.167778,-44.394722
Barreirinhas,-2.7541271,-42.8259693
São José do Rio Pardo,-21.595288,-46.887303
Encruzilhada,-15.5317004,-40.909007
Dom Silverio,-20.1631352,-42.9666824
Tombos,-20.9083753,-42.0270243
Araújos,-19.946829,-45.1654312
Gurupi,-11.72794,-49.068046
Morrinhos,-17.7333689,-49.105908
Ourilândia do Norte,-6.748975,-51.0788476
Pedro Canário,-18.2993128,-39.9549993
Jaciara,-15.9520115,-54.9762106
Ipirá,-12.1578337,-39.7416605
Estiva,-22.4638686,-46.0182101
Goioere,-24.1851885,-53.0250623
Pancas,-19.2239225,-40.8502555
Cabo Verde,-21.4743338,-46.3964995
Corupá,-26.4267153,-49.24747
Juruti,-2.1571381,-56.0900977
Prado,-17.3432883,-39.2187741
Andradas,-22.0693412,-46.5707584
Nova Odessa,-22.7805746,-47.2993805
Feira de Santana,-12.2578934,-38.9598047
Primavera do Leste,-15.5614127,-54.2993946
Posse,-14.0835852,-46.3563185
Umuarama,-23.7621152,-53.3116192
Pilar do Sul,-23.8121684,-47.7201865
São João de Meriti,-22.7853575,-43.366715
Virgínia,-22.333333,-45.091666
Galiléia,-19.0008297,-41.5388481
Castanhal,-1.2927031,-47.9223903
Londrina,-23.3112878,-51.1595023
Penedo,-10.2872341,-36.5819262
São João Evangelista,-18.548023,-42.7652888
Ouro Preto do Oeste,-10.717914,-62.2566611
Lassance,-17.886944,-44.576667
Paramirim,-13.4437218,-42.2419768
João Pessoa,-7.1215981,-34.882028
Santiago - Chile,-33.4388212,-70.6648227
Senador Cortes,-21.8009734,-42.9450985
Joanópolis,-22.930004,-46.275208
Corinto,-18.363056,-44.456111
Angelândia,-17.7253,-42.2728
Brasilia,-10.3333333,-53.2
Vitorino Freire,-4.2885303,-45.2417582
Pitangueiras,-23.2313428,-51.587301
Penápolis,-21.4192406,-50.0765588
Águas Formosas,-17.0834193,-40.9339978
Santa Juliana,-19.308611,-47.525
Santa Maria do Suaçui,-18.1894783,-42.4188445
Minas Novas,-17.2174817,-42.5948698
Itú,-23.2637798,-47.2998462
Campo Novo do Parecis,-13.658735,-57.890723
Jacobina,-11.1851561,-40.5112434
Niteroí,-22.8884,-43.1147
Mucuri,-18.0864709,-39.5512819
Itapemirim,-21.0105534,-40.8351239
Ibaiti,-23.8452962,-50.1905666
Araguaina,-7.193241,-48.2018597
Marechal Floriano,-20.4124966,-40.6749858
Diamantino,-14.4036262,-56.4364488
Santa Isabel,-23.3194222,-46.2271903
Santa Maria de Jetibá,-20.025296,-40.743931
Mirandópolis,-21.1328313,-51.1029422
Divinolândia de Minas,-18.8021453,-42.6153788
Braunas,-19.055556,-42.716111
Paraíba do Sul,-22.1636384,-43.2916915
Itaberaí,-16.0205509,-49.8060341
Teutônia,-29.4816568,-51.813752
Catalão,-18.1702546,-47.9447082
São Marcos,-28.9706799,-51.0687665
Miracema,-21.4121,-42.1966
Recreio,-21.5248205,-42.4689256
Colina,-20.711443,-48.53867
Apiacá,-21.152272,-41.569297
Vargem Alta,-20.6733324,-41.0107231
Seabra,-12.4172071,-41.772051
Redenção,-4.2243979,-38.7278461
Cáceres,-16.0644068,-57.6878972
Guaratinga,-16.5863011,-39.7810348
Ibiraci,-20.461944,-47.122223
Sorriso,-12.5444887,-55.7233972
Amparo da Serra,-22.9347621,-43.6318892
Padre Paraíso,-17.0750322,-41.4850334
Jataí,-17.8856178,-51.7202967
Itabuna,-14.793173,-39.2750341
São Sebastião da Vargem Alegre,-21.0716128,-42.6371378
Cândido de Abreu,-24.5747463,-51.3432207
Maracás,-13.4408898,-40.433052
Candiba,-14.4125032,-42.8714102
Guararapes,-21.2542739,-50.6440083
Pains,-20.3672648,-45.6633353
Olindina,-11.3601309,-38.3269571
São José do Calçado,-21.0271161,-41.654069
Alfredo Vasconcelos,-21.145833,-43.776389
Passo Fundo,-28.2550598,-52.3966606
Cajuru,-21.2759978,-47.3046035
Afonso Claudio,-20.0744817,-41.1251335
Brasilia de Minas,-16.2075114,-44.430559
Minaçu,-13.5336413,-48.2184889
Lima Duarte,-21.842777,-43.792777
Carandaí,-20.9526569,-43.8066788
Medina,-16.2270466,-41.4763373
São Pedro,-22.5512765,-47.9072359
Dias D'Avila,-12.6107233,-38.3028518
Manhuacu,-20.2574434,-42.0340769
Mineiros,-17.5653879,-52.5536721
Campestre,-21.711111,-46.246389
Jardinópolis,-21.0255126,-47.7706807
Pindobaçu,-10.7439121,-40.3619457
Araguatins,-5.6529384,-48.1161923
Luziânia,-16.2535456,-47.9500276
Descalvado,-21.9090404,-47.6203241
Mambaí,-14.4970828,-46.1115108
Santarém,-2.438489,-54.699611
Bauru,-22.3218102,-49.0705863
Ibiassuçê,-14.2713813,-42.2576112
Acreúna,-17.3959899,-50.3749031
Oliveira,-20.6971953,-44.8273969
Boa VIsta,2.8208478,-60.6719582
Rio Claro,-22.4100108,-47.5603933
Pontes e Lacerda,-15.2315171,-59.3349512
Sapiranga,-29.6392382,-51.0068586
Brasnorte,-12.1218837,-58.0042714
Quatis,-22.4066444,-44.2577453
Bom Jesus da Lapa,-13.2498754,-43.4101019
Coroatá,-4.1282283,-44.1360269
Nova Andradina,-22.2477565,-53.3480621
Chapecó,-27.1110472,-52.5958977
Nova Mutum,-13.8255015,-56.0849262
Quatiguá,-23.5669626,-49.9160315
Ivaí,-25.0069795,-50.8568896
Fort Lauderdale,-19.9585319,-43.918784
Arapongas,-23.4152862,-51.4293961
Cotia,-23.603889,-46.918889
Tucumã,-6.7517239,-51.1507941
Utinga,-12.0781018,-41.090787
Timbaúba,-7.5118822,-35.316076
Indiara,-17.1387389,-49.9861621
Pinheiros,-23.5672147,-46.7019523
Palmeirópolis,-13.0428105,-48.4065223
Piraúba,-21.276945,-43.025834
Lontra,-15.9034782,-44.3030383
Maiquinique,-15.6179956,-40.2645087
Uruaçu,-14.5244164,-49.1510022
Avaré,-23.1045215,-48.9259103
Aracajú,-10.9162061,-37.0774655
Ribeirao Preto,-21.1776315,-47.8100983
Joao Pessoa,-7.1215981,-34.882028
Igrapiuna,-13.8227115,-39.1419857
Dores do Indaia,-19.4636451,-45.60166
Pratápolis,-20.7444262,-46.8607973
Andrelândia,-21.739722,-44.308889
Concórdia,-27.2312011,-52.0231024
Estrela,-29.5010545,-51.962226
Luziania,-16.2535456,-47.9500276
Pinhais,-25.4443488,-49.1900307
Balsas,-7.53214,-46.037163
Cedro,-6.6065382,-39.0599487
Macapá,0.0401529,-51.0569588
Pedro Afonso,-8.9757351,-48.1733282
Itaguaçu,-19.8032523,-40.8564458
Virginopólis,-18.8226124,-42.7053967
Dom Eliseu,-4.2928111,-47.5559083
Santarem,-2.438489,-54.699611
Tremedal,-14.9772387,-41.4110979
Manacapuru,-3.2996768,-60.6213528
Itacarambi,-15.1,-44.092222
Correntina,-13.344157,-44.6345066
Guarantã do Norte,-9.9517992,-54.9098178
Jaraguá do Sul,-26.4897432,-49.0778063
Itacajá,-8.392935,-47.772615
Nova Xavantina,-14.6794165,-52.351994
Paranavaí,-23.08165,-52.461724
Jussari,-15.1882453,-39.493597
Nortelândia,-14.4518972,-56.8043752
Piedade do Rio Grande,-21.4679371,-44.1939394
Caetité,-14.0691776,-42.4852428
Ji-Paraná,-10.8778148,-61.9277854
Paulo Afonso,-9.3991006,-38.226711
Piumhí,-20.4675258,-45.9576125
Caldas Novas,-17.745,-48.625
Lucas do Rio Verde,-13.0664609,-55.9196711
Itapevi,-23.54888,-46.933889
São Borja,-28.6592237,-56.0044295
Alta Floresta,-9.8698547,-56.0834993
São Miguel do Iguaçu,-25.349171,-54.240498
Querência,-12.5944625,-52.2088505
Blumenau,-26.9195567,-49.0658025
Bom Jesus do Galho,-19.8283191,-42.3162256
Valparaíso,-21.2230369,-50.8666375
Chapada Gaúcha,-15.2946253,-45.6284904
Ervalia,-20.8377232,-42.6559789
Ipameri,-17.7215439,-48.158118
São Miguel Arcanjo,-23.8807771,-47.9963492
Formoso,-14.9513078,-46.234247
Conselheiro Pena,-19.1720883,-41.471995
São Francisco de Itabapoana,-21.4537438,-41.1452982
Balneário Camboriú,-26.9924395,-48.6339782
Arapiraca,-9.754866,-36.661471
São Miguel dos Campos,-9.7831115,-36.0967804
Itororó,-15.1179764,-40.0680738
República do Congo,-15.8350867,-47.8752734
Gonçalves Dias,-5.1532875,-44.2997071
Baianópolis,-12.3067564,-44.5383591
Ibicuí,-14.84496,-39.987915
Capitão Leônidas Marques,-25.481645,-53.611238
Camamu,-13.9438142,-39.1060917
Mucurici,-18.0940112,-40.5184761
Serra Talhada,-7.9867805,-38.2920294
Vianópolis,-16.7475869,-48.5131735
Açucena,-19.073056,-42.546666
Brasília de Minas,-16.2075114,-44.430559
Vieiras,-20.8651165,-42.2448518
Leandro Ferreira,-19.7169632,-45.0245003
Paraty,-23.1415413,-44.7610795
Pompeu,-19.218611,-45.002778
Barcarena,-1.5107945,-48.6190679
Jales,-20.2671767,-50.5492435
Santa Cruz de La Sierra,-17.7852255,-63.1712812
Soure,-0.7275759,-48.5189785
Santana dos Montes,-20.7875735,-43.6910376
São Felipe D'Oeste,-11.9107798,-61.5130058
Amambai,-23.1082701,-55.2284854
São Luis,-2.5295265,-44.2963942
Flores de Goiás,-14.4580291,-47.0395396
Fruta de Leite,-16.1169,-42.5278
Criciúma,-28.6789941,-49.3695627
Paraíso do Tocantins,-10.1752474,-48.886759
São Geraldo,-20.9221894,-42.8343489
Porto Nacional,-10.7019786,-48.4110952
São Miguel do Araguaia,-13.2726442,-50.1627219
Uruará,-3.7185381,-53.738549
Esplanada,-11.800614,-37.9453
Delmas,-22.0079549,-47.8862218
Vilhena,-12.7368536,-60.1465555
Crato,-7.2369112,-39.4149236
Ipiaú,-14.1318211,-39.7373177
Joinville,-26.3044898,-48.8486726
Laranjeiras do Sul,-25.4073197,-52.4150132
Luís Eduardo Magalhães,-12.0869117,-45.7834163
Marapanim,-0.7134493,-47.6985381
Matupá,-10.1683242,-54.9346194
Juara,-11.2535587,-57.5080072
Pinheiro,-2.5270459,-45.0866463
Cruz das Almas,-12.6722649,-39.1053665
Buru,-23.1453804,-47.3147686
Mg,-18.5264844,-44.1588654
Tuntum,-5.2630885,-44.6448502
Camanducaia,-22.755278,-46.144444
Leme,-22.1844807,-47.385295
Dourado,-22.116287,-48.3174349
Belo Horizonte - Mg,-19.9227318,-43.9450948
Altamira,-3.204065,-52.209961
Belo Horizonte -Mg,-19.9227318,-43.9450948
Guapé,-20.7619937,-45.9176017
Luanda,-7.7838154,-38.3492269
Maputo - Maputo,-23.21894,-49.1020324
Santa Rita do Sapucaí,-22.2486968,-45.7064507
Montanha,-18.1263191,-40.3641584
Cana Verde,-21.021308,-45.1817881
Itanhém,-17.1690851,-40.3283868
Juazeiro,-9.4336959,-40.5068201
Brazlândia,-15.6808898,-48.1942621
Guaçui,-20.7718645,-41.6754813
Piraí,-22.6550812,-43.9193061
Alto Araguaia,-17.3156528,-53.2169365
Santa Fé do Sul,-20.2106188,-50.9270837
Laje do Muriaé,-21.2082595,-42.1226959
Maputo,-23.21894,-49.1020324
Huancayo,-12.0266973,-75.2228269
Catas Altas,-20.0748989,-43.4078304
Juazeiro do Norte,-7.2153453,-39.3153336
Jaguariúna,-22.70374,-46.985062
Poçoes,-14.5274879,-40.3665326
Trindade,-16.6549924,-49.4876203
Cícero Dantas,-10.5942278,-38.3839063
Luis Eduardo Magalhães,-12.0869117,-45.7834163
Bonfim,-20.3266626,-44.2386157
Ferraz de Vasconcelos,-23.541056,-46.37097
Almada,-14.6829071,-39.5633984
Morro do Chapéu,-11.5500293,-41.1570248
Conceição de Macabu,-22.1618951,-41.8806433
Varre-Sai,-20.9311337,-41.8677946
Vinhedo,-23.0298535,-46.9749847
Cabo Frio,-22.8804369,-42.0189227
Anchieta,-13.1535638,-41.7743761
São José do Goiabal,-19.925098,-42.7083162
Alvorada de Minas,-18.7318587,-43.3641479
Itagi,-14.1627902,-40.0069366
Medeiros Neto,-17.3728243,-40.2203882
Guidoval,-21.1514477,-42.7997151
São José do Jacuri,-18.2773091,-42.6714372
Jaboatão dos Guararapes,-8.1752476,-34.9468716
Açailândia,-4.9515026,-47.500732
Telêmaco Borba,-24.3282939,-50.6318021
Guaíra,-24.0851924,-54.2567519
Jeceaba,-20.5353816,-43.983346
Nova York,-28.7570704,-49.4404032
Pereira Barreto,-20.6378509,-51.1052172
Rio Branco,-9.9765362,-67.8220778
Magé,-22.6042779,-43.1081091
São Félix do Xingu,-6.6386974,-51.9787582
Benguela - Lobito,-12.3450485,13.5444578
Berlim - Alemanha,-2.535005,-44.2690743
Itambacurí,-18.0391974,-41.6751876
Santo Antonio do Gloria,-20.9514728,-42.3087821
Itaquaquecetuba,-23.4754492,-46.3514033
Palma,-21.3753167,-42.3175405
Pedro Juan Caballero,-22.5647181,-55.7329061
Porto Principe,-20.6281198,-41.198113
Dracena,-21.4835523,-51.5334408
Nilópolis,-22.8080114,-43.4138222
Piedade,-23.7074096,-47.4252319
Nossa Senhora da Graça,-20.1617734,-44.8807809
Rio Bananal,-19.2614413,-40.3353272
Gaspar,-26.9307306,-48.9566824
São Sebastião,-23.8027866,-45.4070527
Januaria,-15.4875,-44.361111
Itabirinha,-18.5711894,-41.2339862
Mossoró - Rn,-5.1904332,-37.3443872
Colatina-Es,-19.5346732,-40.6287836
Senhor do Bonfim,-10.4602509,-40.189151
Cataguases-Mg,-21.387426,-42.6957219
Joaçaba,-27.1737204,-51.5065214
Acajutiba,-11.6609659,-38.0186381
Carmo do Rio Claro,-20.973315,-46.1186754
Oratórios,-20.4303,-42.8056
Araxa,-19.6009149,-46.940923
Arequipa,-16.4035217,-71.4955672
Ipupiara,-11.82207,-42.6111388
Maracaju,-21.6163005,-55.164605
Barra do Piraí,-22.4242692,-43.8935244
São Fidélis,-21.6467054,-41.7463412
Caraguatatuba,-23.62028,-45.41306
Belford Roxo,-22.7667284,-43.4033603
Várzea Alegre,-6.7936089,-39.2989333
Jacinto,-16.143722,-40.2914847
Itajuba,-22.4238234,-45.4524156
Praia Grande,-24.008979,-46.4144939
Londres,-21.1533436,-48.9422964
Jaru,-10.431826,-62.478769
São João,-25.8273206,-52.7256633
Coroaci,-18.6194369,-42.2830239
Sucre,-2.2004719,-79.8978792
Cubatão,-23.8857982,-46.4241869
Cordeiro,-22.0287681,-42.3607442
Caruaru,-8.2829702,-35.9722852
Petrolina de Goias,-16.1005783,-49.3359066
Macae,-22.2828305,-41.9649091
Domingos Martins,-20.3646483,-40.6585797
Ferreira Gomes,0.8580838,-51.1814
Carinhanha,-14.298524,-43.772349
São Sebastião do Alto,-21.9555,-42.1347
Araçuai,-16.8484451,-42.0661868
Macaúbas,-13.0174846,-42.6882221
Mateus Leme - Mg,-19.986666,-44.428056
João Dourado,-11.3483643,-41.6626509
Aimores,-19.4917754,-41.0615603
Rubelita,-16.4067495,-42.2623615
São Romão,-16.3687716,-45.0678597
Caico,-6.4594544,-37.0971911
São VIcente,-23.9664177,-46.3861401
Itápolis,-21.5958368,-48.8122696
Santo Antônio do Monte,-20.086944,-45.290555
Itapuranga,-15.5605889,-49.9489571
Mogi Guaçu,-22.372222,-46.9425
Alto Jequitiba,-20.4236673,-41.9660938
Cambuci,-21.5762274,-41.912293
Santo Antônio do Itambé,-18.4654706,-43.3058343
Bom Sucesso,-21.0323516,-44.7598082
São Cristóvão,-11.0136465,-37.2071134
Carrancas,-21.4910462,-44.6436151
Presidente Venceslau,-21.877116,-51.8451047
Pontalina,-17.5144331,-49.4449688
Erechim,-27.6350709,-52.2738654
Açu,-5.5836157,-36.9139541
São Miguel do Guamá,-1.6116804,-47.4757551
Indaiatuba,-23.0908356,-47.2180677
Caete,-19.897777,-43.670278
Itanhaém,-24.1833421,-46.7896229
Monte Santo de Minas,-21.189722,-46.98
Votorantim,-23.5383101,-47.4422496
Rosario da Limeira,-20.9793178,-42.5107009
Antônio Carlos,-21.318334,-43.746666
Marechal Cândido Rondon,-24.5582532,-54.0587821
Maricá,-22.9088759,-42.8171914
Poá,-23.5249082,-46.3445663
Tailândia,-2.936096,-48.9523366
Baruerí,-23.5112184,-46.8764612
Oriximiná,-1.7669992,-55.868285
Peruíbe,-24.3218105,-46.9977452
Paris - França,-12.2327423,-38.9380625
Delfim Moreira,-22.5086783,-45.2792398
Coelho Neto,-4.2535154,-43.0149321
Barra,-11.0891794,-43.1414512
Varzea Grande,-15.645816,-56.132218
Ourolandia,-10.9686909,-41.0808672
Mário Campos,-20.0511,-44.1858
Pedreira,-22.741347,-46.894846
Lamim,-20.7905386,-43.4733218
Pelotas,-31.7699736,-52.3410161
Imperatriz,-5.5269279,-47.478115
Jau,-22.293585,-48.559193
Vera Cruz,-22.2212638,-49.8243021
Santana do Manhuaçu,-20.1075,-41.925556
Coqueiral,-21.1898365,-45.4409829
Telemaco Borba,-24.3282939,-50.6318021
Joaíma,-16.6550626,-41.0251754
Currais Novos,-6.2626676,-36.5173039
Conceição da Barra,-18.5841421,-39.7371844
Serrinha,-11.66199,-39.0034021
Santo Antonio do Grama,-20.314444,-42.608611
São Sebastião da Grama,-21.7118854,-46.8284162
Manga,-14.7528035,-43.9417044
Passa Tempo,-20.650556,-44.495833
Arenápolis,-14.460185,-56.8436668
Gouveia,-18.4545728,-43.7415904
Arcoverde,-8.4208643,-37.0547808
Poções,-14.5274879,-40.3665326
Rio Bonito,-23.1019554,-48.2610535
Capela Nova,-20.9236773,-43.6179487
Cristiano Otoni,-20.8324096,-43.8053057
Morada Nova de Minas,-18.6024892,-45.3513867
Santa Barbara,-19.959444,-43.415278
Campos Verdes,-14.2709062,-49.65746
Cambuquira,-21.853056,-45.2953619
Conceição do Mato Dentro,-19.037222,-43.425278
Santo Andre,-23.6533509,-46.5279039
Conceição do Araguaia,-8.2696905,-49.2676864
Itu,-23.2637798,-47.2998462
Caravelas,-17.734979,-39.2627179
Santa Rita de Ibitipoca,-21.5625,-43.914722
Pariquera-Açu,-24.7146891,-47.8802361
Itariri,-24.2900711,-47.176151
Mairiporã,-23.3190348,-46.5876377
Turim,-26.183045,-52.6917109
Trajano de Moraes,-22.0637596,-42.0648701
Lagos,-15.5761635,-39.1340518
Valparaiso de Goiás,-16.0929051,-47.9959572
São Leopoldo,-29.7544405,-51.1516497
Formosa do Rio Preto,-11.0414544,-45.1903983
Sp,-22.0702705,-48.4333875
Sao Paulo,-23.5506507,-46.6333824
Itaboraí,-22.7558128,-42.8829561
Colméia,-8.734098,-48.7510897
São João do Paraíso,-15.3145008,-42.0150929
Agua Boa,-17.9956411,-42.3899261
Duval de Barros,-19.9811438,-44.0621775
Morro do Pilar,-19.216389,-43.376667
Jequeri,-20.453056,-42.666111
Piau,-21.5074738,-43.320587
Tabatinga,-21.7373768,-48.6880522
Martins Soares,-20.2574182,-41.8771753
Extrema,-22.8548355,-46.3184553
Rio Pardo de Minas,-15.6106289,-42.5387444
Cristina,-22.212222,-45.264167
Ubatã,-14.212002,-39.5245924
Monte Mor,-22.945043,-47.312182
Promissão,-21.5404913,-49.8574709
Divinésia,-20.990277,-43.003889
Cristalândia,-10.59848,-49.194202
Dom Bosco,-16.6516044,-46.2677917
Pedra do Anta,-20.5962822,-42.7179792
Conceição do Castelo,-20.3601311,-41.2470343
Moema,-19.8435409,-45.4106241
Malacacheta,-17.8428204,-42.0786194
Santo Antônio de Padua,-21.539,-42.1816
Irupi,-20.346479,-41.6392581
Altamira do Maranhão,-4.1643006,-45.4674574
São Domingos do Maranhão,-5.5799743,-44.3841617
Ibirite,-20.0214251,-44.0621506
Lima Campos,-4.5179809,-44.4671291
Urandi,-14.7680766,-42.6573988
Araucária,-25.5861107,-49.4051209
Felisburgo,-16.6400483,-40.7614691
Santa Bábara,-4.065469,-66.419645
Barcelos,-0.9729214,-62.925635
Tubarão,-28.471488,-49.014132
Rubim,-16.3751157,-40.5380871
Filadélfia,-10.7418885,-40.1304175
Bonito,-11.9665473,-41.2649896
Pocrane,-19.6201477,-41.6365906
Caetanopolis,-19.2947496,-44.4138386
Rondon,-23.4171839,-52.7722221
Aparecida,-22.851552,-45.2340924
Riolândia,-19.980944,-49.6814309
Juquiá,-24.3172209,-47.6355618
Cachoeira da Prata,-19.524723,-44.453056
Barbosa,-21.265661,-49.951816
Santa Maria da VItoria,-13.3901477,-44.2013167
Garanhuns,-8.8905889,-36.4930896
Santa Adélia,-21.2432992,-48.8061481
Parintins,-2.6344567,-56.7319324
Veredinha,-17.3945837,-42.7383934
Monte Azul Paulista,-20.90649,-48.638717
Serra Negra,-22.6126459,-46.699986
Palmeira das Missões,-27.9010519,-53.3135927
Itanhomi,-19.171111,-41.864167
Río Verde,-17.7921255,-50.9191219
Sao Gotardo,-19.3168844,-46.0476596
Olho D'Água das Flores,-9.5318374,-37.2939052
Mogi das Cruzes São Paulo,-23.5234284,-46.1926671
Aguaí,-22.0592036,-46.979384
Nova Europa,-21.7808203,-48.5661712
Lagoa Dourada,-20.914444,-44.077778
Poço Fundo,-21.780834,-45.965
Samba - Luanda,-8.8365971,13.2157268
Videira,-27.00544,-51.1533733
Mairinque,-23.518426,-47.1984731
Lapa,-13.2498754,-43.4101019
Embú-Guaçú,-23.8317997,-46.8156204
Jandira,-23.5282246,-46.902003
Caieiras,-23.3644621,-46.7484765
Bertioga,-23.848568,-46.139586
Saquarema,-22.9257974,-42.507633
Ichihara,-20.40699,-50.765011
St. Maarten,-23.5628832,-46.59423
Natividade,-11.7089881,-47.7284165
Alegrete,-29.790166,-55.794862
Santana do Paraíso,-19.3652914,-42.5494833
Colares,-0.936423,-48.280254
Tefé,-3.3485276,-64.7102278
Sumaré,-22.8217964,-47.267105
Muzambinho,-21.3684325,-46.522317
Xique-Xique,-10.8217193,-42.7265689
Urbano Santos,-3.2036233,-43.3929106
Nova Venecia,-18.7082544,-40.4000087
Sao José dos Campos,-23.1867782,-45.8854538
Lençóis Paulista,-22.6029897,-48.8031367
Estrela do Indaia,-19.5225,-45.7875
Agrestina,-8.4558021,-35.9442663
Rosana,-22.5788641,-53.0552246
Carapicuíba,-23.5234673,-46.8406808
Pio Ix,-6.8351921,-40.6148654
Manaus - Am,-3.1316333,-59.9825041
Inhapim-Mg,-19.5501834,-42.1209879
Juína,-11.4230908,-58.7570212
Birigui,-21.2908491,-50.34144
Itaberaba,-12.524182,-40.305897
Venda Nova  do Imigrante,-20.3325787,-41.1295842
Abaetetuba,-1.7217787,-48.8788106
Buritizal,-20.1933264,-47.7097165
Sumidouro,-12.7095183,-41.8299984
Guararema,-23.4136776,-46.0383744
Ubaitaba,-14.3117771,-39.3226605
Santana de Cataguases,-21.2871462,-42.5569749
Sete Barras,-24.3878438,-47.9265798
Carmo de Minas,-22.1216655,-45.1323836
Remanso,-9.6179416,-42.0830557
Matipo,-20.2896695,-42.3426599
Santo Antão,-29.6388662,-53.84292
Barra do Choça,-14.8638173,-40.5761637
São Bento Abade,-21.5816076,-45.0759227
São Felix,-12.6069891,-38.9695574
Humaitá,-27.5660564,-53.9719817
Ourinhos,-22.9777918,-49.868204
São Joaquim,-28.2924972,-49.9353255
Conceição do Pará,-19.752222,-44.896944
Ipora,-24.0039474,-53.7100595
Pauini,-7.7122214,-66.9998441
Monte Azul,-15.1531999,-42.8711742
Itararé,-24.1145368,-49.3352464
Piraju,-23.1938491,-49.3842588
Pedralva,-22.2430204,-45.4659326
Antofagasta,-22.4430821,-68.9286265
Xanxerê,-26.8748603,-52.4035964
Itaguaí,-22.8122697,-43.823563
Agudos,-22.4719836,-48.9884476
Santa Rita do Ituêto,-19.3576722,-41.3801488
Montenegro,-12.6998188,-38.3260762
Bissau,-22.8146727,-43.182977
Igaraçu do Tietê,-22.5165369,-48.5582558
Maianga - Luanda,-8.8365971,13.2157268
São VIcente de Minas,-21.703333,-44.443889
Rio Novo,-21.4753189,-43.1250813
Laranjal,-21.365278,-42.477778
Colíder,-10.8094999,-55.4540386
Cochabamba,-17.3993477,-66.1531674
Grão Mogol,-16.5634214,-42.8929185
Vermelho Novo,-20.0356065,-42.2671476
Pastos Bons,-6.6013999,-44.0878124
Frei Inocêncio,-18.5651322,-41.9077144
Pedra Bonita,-20.520375,-42.3296975
Miracema do Tocantins,-9.5617939,-48.3966536
Santa Helena,-24.8591735,-54.3328813
Calambau,-20.0176118,-44.5753417
São João do Oriente,-19.3408771,-42.1550791
Pereira - Risaralda,4.8135676,-75.6912632
Cali,-20.3731246,-40.3048169
Acaiaca,-20.3621646,-43.1444162
Barra Longa,-20.2833541,-43.0423516
Taquatinga,-22.7917687,-43.1735756
Sobral,-3.6879135,-40.3456372
Maracanaú,-3.8779438,-38.6247697
Ceará-Mirim,-5.633588,-35.4248407
Ilha Solteira,-20.4281001,-51.3410871
Areia Branca,-4.9506652,-37.1263312
Marcolino Souza,-22.58499,-47.3770739
Adamantina,-21.6866517,-51.0762975
Campina Grande,-7.2246743,-35.8771292
Indaial,-26.8901747,-49.2416736
Rubiataba,-15.1629793,-49.8005102
Miranda,-20.2401082,-56.3844728
Eliseu Martins,-7.9397502,-43.6592194
Dores do Rio Preto,-20.6907113,-41.846385
Porciuncula,-20.8956337,-41.9332211
Barão de Monte Alto,-21.244722,-42.2375
Swat,-16.9574081,-39.1612087
Caxias,-29.1685045,-51.1796385
Canavieiras,-15.6790128,-38.9449622
Serra do Navio,0.8991593,-52.0027191
Embu,-23.6495294,-46.8528497
Barranquilla,-22.8595143,-43.4876663
Caldas,-21.923611,-46.386111
José de Freitas,-4.7578357,-42.5763777
Tocantinópolis,-6.3280931,-47.4217673
Assis Chateaubriand,-24.4054826,-53.5120468
Jataizinho,-23.257815,-50.977748
Eldorado,-24.522583,-48.1093489
Uruguaiana,-29.7560726,-57.0867546
Grajaú,-5.8154034,-46.1361454
Poxoréo,-16.0969682,-54.2879648
São José dos Quatro Marcos,-15.627584,-58.177217
Ubajara,-3.8534468,-40.9185642
Licinio de Almeida,-14.6835152,-42.5064545
Guajeru,-14.5464079,-41.9379047
Valença do Piauí,-6.4048149,-41.7382812
Jaboatão,-8.1752476,-34.9468716
São José do Castanhal,-2.4851135,-47.0553193
Cerro Largo,-28.147498,-54.7383681
Tupi Paulista,-21.3861179,-51.5763259
Curionópolis,-6.0990443,-49.6059039
Guadalupe,-6.7880961,-43.5693694
Armenia (Quindio),4.5598734,-75.6544444
Campos Belos,-13.0349839,-46.768112
Padre Paraiso,-17.0750322,-41.4850334
São Francisco de Paula,-20.7098288,-44.9817485
Piancó,-7.1987413,-37.9255755
Nampula,-22.8449013,-43.4909612
Macatuba,-22.50022,-48.710229
Senhora de Oliveira,-20.793889,-43.344166
Pau dos Ferros,-6.1124964,-38.2062628
Jacarei,-23.3050682,-45.9723075
Icó,-6.4003992,-38.8575946
Arara,-6.8271895,-35.7605703
Gurupá,-1.406325,-51.6427456
Mossoró,-5.1904332,-37.3443872
Antonio Carlos,-21.318334,-43.746666
Trujillo,-23.4936405,-47.4696629
Alessandria,-3.7983491,-38.4901616
Quixadá,-4.9706021,-39.0158403
Lobito - Benguela,-12.3450485,13.5444578
Guarará,-21.731945,-43.037777
Santo Antonio de Jesus,-12.9689361,-39.260914
Itapiranga,-27.1724236,-53.7118989
