Naturalidade,lat,lon
Montalvânia,-14.4230168,-44.3701782
Lorena,-22.7367652,-45.1070876
Nova Lima,-19.9854089,-43.8470691
Esmeraldas,-19.7613111,-44.3145945
Nova Serrana,-19.875834,-44.984166
Nishio,-23.6105856,-46.2515827
Nova Era,-19.766111,-43.036944
Ouricuri,-7.884432,-40.0833221
Manaus,-3.1316333,-59.9825041
São Bernardo do Campo,-23.7080345,-46.5506747
Patos de Minas,-18.6041453,-46.5096698
Guarani,-21.35876,-43.0481021
Coimbra,-20.8563255,-42.8026943
Guarapari,-20.6718755,-40.4984617
Parnaíba,-2.9147515,-41.7661953
Novo Cruzeiro,-17.4674406,-41.8767107
Brumado,-14.2025099,-41.6701307
Bambuí,-20.0131996,-45.9777034
Piracicaba,-22.725165,-47.6493269
Santa Maria do Suaçuí,-18.1894783,-42.4188445
Marabá,-5.3462821,-49.1007401
Serro,-18.604444,-43.379445
Pouso Alegre,-22.2343858,-45.9327241
Itabirito,-20.2519724,-43.8029171
Sertãozinho,-21.1375782,-47.9913741
Paineiras,-18.904167,-45.534722
Sarzedo,-20.0353,-44.1453
Virgem da Lapa,-16.8071554,-42.3376458
Guanambi,-14.223066,-42.779943
Jardim,-7.5838966,-39.279713
Várzea da Palma,-17.5983328,-44.7317086
Diadema,-23.6866428,-46.6246935
Princesa Isabel,-7.736898,-37.9921335
Três Marias,-18.2051533,-45.2484314
Jundiaí,-23.1887668,-46.884506
Rio Manso,-20.265079,-44.3090284
Parauapebas,-6.0696846,-49.8903283
Jaci,-20.8844434,-49.5710544
Volta Redonda,-22.521856,-44.1040128
Resende,-22.4683626,-44.4463494
Nova Friburgo,-22.3061661,-42.4934183
São Miguel do Anta,-20.7065375,-42.7195395
Palmas,-10.1837852,-48.3336423
Joaquim Felício,-17.7602437,-44.1701635
Itaituba,-4.2625218,-55.9878139
Petrópolis,-22.5075743,-43.1785356
Tocantins,-10.8855129,-48.3716912
Rio das Ostras,-22.5269448,-41.944972
Presidente Bernardes,-20.7685467,-43.1877237
Caparaó,-20.5232726,-41.9049984
Eugenópolis,-21.097549,-42.1853298
São Gonçalo,-22.821635,-42.9956797
Teresópolis,-22.4164578,-42.975194
Rio Piracicaba,-19.5302615,-42.6297113
Itaguara,-20.391389,-44.488055
Ferros,-19.234984,-43.019542
Barreiras,-12.1440031,-44.9967406
Carmópolis de Minas,-20.541224,-44.6350611
Estrela do Indaiá,-19.5225,-45.7875
Campos dos Goytacazes,-21.7546,-41.3242
Poços de Caldas,-21.7900318,-46.5647928
Itauna,-20.075556,-44.576389
Ribeirão das Neves,-19.7672898,-44.0875436
Paraopeba,-19.2756823,-44.4034123
Itapecerica,-20.472778,-45.125556
Papagaios,-19.4487775,-44.7478694
Carandai,-20.9526569,-43.8066788
Água Boa,-17.9956411,-42.3899261
Suzano,-23.5427842,-46.3108391
Santo Antônio de Pádua,-21.539,-42.1816
Porto Firme,-20.672778,-43.084444
Natal,-5.805398,-35.2080905
Iúna,-20.3427029,-41.5360386
Machado,-21.6762861,-45.9211696
Sabinópolis,-18.6656839,-43.0830439
Alegre,-20.7625787,-41.5318886
Belém,-1.45056,-48.4682453
Marília,-22.2172002,-49.9500061
Mariana,-20.3781468,-43.4174862
Nova VIçosa,-17.8907712,-39.3725471
Minduri,-21.6817218,-44.6036995
Nova Venécia,-18.7082544,-40.4000087
São João da Barra,-21.7649506,-41.0961685
São Gonçalo do Pará,-19.982778,-44.859167
Teresina,-5.0874608,-42.8049571
Dourados,-22.2206145,-54.812208
Juatuba,-19.954001,-44.3407921
Felixlândia,-18.7573983,-44.8991465
Caetanópolis,-19.2947496,-44.4138386
Campo Belo,-20.8975,-45.277223
Canaã,-20.685555,-42.62
Cascavel,-24.9554996,-53.4560544
Santa Cruz do Escalvado,-20.2355745,-42.8142315
